Year,Month,Day,Hour,GOES_Num,Direction,URL,Date
1996,6,10,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.10.0000.v01.nc,1996-06-10
1996,6,10,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.10.0600.v01.nc,1996-06-10
1996,6,10,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.10.1200.v01.nc,1996-06-10
1996,6,10,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.10.1800.v01.nc,1996-06-10
1996,6,11,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.11.0000.v01.nc,1996-06-11
1996,6,11,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.11.0600.v01.nc,1996-06-11
1996,6,11,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.11.1200.v01.nc,1996-06-11
1996,6,11,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.11.1800.v01.nc,1996-06-11
1996,6,12,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.12.0000.v01.nc,1996-06-12
1996,6,12,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.12.0600.v01.nc,1996-06-12
1996,6,12,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.12.1200.v01.nc,1996-06-12
1996,6,12,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/06/GridSat-GOES.goes09.1996.06.12.1800.v01.nc,1996-06-12
1996,7,11,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.11.0000.v01.nc,1996-07-11
1996,7,11,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.11.0600.v01.nc,1996-07-11
1996,7,11,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.11.1200.v01.nc,1996-07-11
1996,7,11,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.11.1800.v01.nc,1996-07-11
1996,7,12,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.12.0000.v01.nc,1996-07-12
1996,7,12,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.12.0600.v01.nc,1996-07-12
1996,7,12,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.12.1200.v01.nc,1996-07-12
1996,7,12,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.12.1800.v01.nc,1996-07-12
1996,7,13,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.13.0000.v01.nc,1996-07-13
